variant,image_auc,image_ap,pixel_auc_paclip,pixel_ap_paclip,pixel_auc_ours,pixel_ap_ours,pixel_aupro,hit@1_valid,hit@1_strict,hit@3_valid,hit@3_strict,hit@10_valid,hit@10_strict,gap_sigma,peak_gap_z,lesion_z,background_z,acc_image_only,acc_lesion_only,acc_fused,acc_text_fused,alpha_fuse,alpha_pt,lam_pt,oof_img_auc,val_acc,auc_heat_alone,auc_text_alone,auc_adapt_alone,auc_3signal,w_heat,w_text,w_adapt,n_valid,n_total,n_seeds,tag,alpha_pt_std,lam_pt_std,val_acc_std,edge_warning,acc_image_only_std,acc_lesion_only_std,acc_fused_std,acc_text_fused_std,w_heat_std,w_text_std,w_adapt_std,image_auc_std,image_ap_std,alpha_fuse_std,oof_img_auc_std,auc_heat_alone_std,auc_text_alone_std,auc_adapt_alone_std,auc_3signal_std,pixel_auc_paclip_std,pixel_ap_paclip_std,pixel_auc_paclip_fixed,pixel_auc_paclip_fixed_std,pixel_ap_paclip_fixed,pixel_ap_paclip_fixed_std,pixel_auc_ours_std,pixel_ap_ours_std,pixel_auc_ours_fixed,pixel_auc_ours_fixed_std,pixel_ap_ours_fixed,pixel_ap_ours_fixed_std,pixel_aupro_std,n_pixel_slices,n_pixel_slices_std,hit@1_valid_std,hit@1_strict_std,hit@1_chance,hit@1_chance_std,hit@3_valid_std,hit@3_strict_std,hit@3_chance,hit@3_chance_std,hit@10_valid_std,hit@10_strict_std,hit@10_chance,hit@10_chance_std,n_valid_std,n_total_std,lesion_area_mean,lesion_area_mean_std,lesion_z_std,background_z_std,gap_sigma_std,peak_gap_z_std
Stage1 (冻结原型),0.955232,0.990735,0.982724,0.761472,0.984888,0.748199,0.875912,0.904447,0.872976,0.977898,0.94387,0.993261,0.958699,2.442469,0.495957,2.347469,-0.095,82.772541,82.772541,82.783308,82.772541,0.05,36.0,0.0,0.936131,9.978858,0.883545,0.499967,0.921964,0.955232,0.44,0.2,0.36,2968.0,3075.0,5,Stage1 (冻结原型),21.908902,0.0,0.863967,1,0.0,0.0,0.024076,0.0,0.054772,0.1,0.089443,0.00243,0.000559,0.0,0.004816,0.030505,7.3e-05,0.001911,0.00243,0.000549,0.011333,0.982555,0.000552,0.759283,0.011322,0.000934,0.014785,0.984755,0.00094,0.746521,0.014836,0.002003,3075.0,0.0,0.004792,0.004625,0.038548,0.0,0.000776,0.000749,0.115645,0.0,0.00079,0.000763,0.38521,0.0,0.0,0.0,0.039938,0.0,0.19382,0.007604,0.201423,0.09979
Stage1 (冻结原型) proto-only,,,0.961352,0.525179,0.964638,0.566229,0.781716,0.54279,0.523902,0.819879,0.79135,0.963275,0.929756,1.439554,0.005473,1.381978,-0.057576,,,,,,,,,,,,,,,,,2968.0,3075.0,5,,,,,,,,,,,,,,,,,,,,,0.001365,0.014822,0.961351,0.001369,0.523963,0.014937,0.001737,0.016272,0.96472,0.001755,0.56615,0.016353,0.007294,3075.0,0.0,0.019462,0.018785,0.038548,0.0,0.012637,0.012197,0.115645,0.0,0.002464,0.002379,0.38521,0.0,0.0,0.0,0.039938,0.0,0.029376,0.001256,0.030632,0.007082
Stage1 (冻结原型) text-only,,,0.979744,0.751817,0.984661,0.770633,0.849049,0.899663,0.868358,0.975943,0.941984,0.992453,0.957919,2.993542,0.844168,2.878257,-0.115285,,,,,,,,,,,,,,,,,2968.0,3075.0,5,,,,,,,,,,,,,,,,,,,,,0.0003,0.002079,0.979528,0.000306,0.749252,0.002105,0.000223,0.00189,0.984549,0.000225,0.769126,0.001889,0.002403,3075.0,0.0,0.001897,0.001831,0.038548,0.0,0.000511,0.000493,0.115645,0.0,0.000185,0.000178,0.38521,0.0,0.0,0.0,0.039938,0.0,0.010426,0.000358,0.010783,0.01056
Stage1 (冻结原型) mem-only,,,0.961768,0.521498,0.95226,0.412448,0.730143,0.658423,0.635512,0.892925,0.861854,0.979987,0.945886,1.606639,0.071389,1.543442,-0.063197,,,,,,,,,,,,,,,,,2968.0,3075.0,5,,,,,,,,,,,,,,,,,,,,,0.001368,0.012421,0.961633,0.00141,0.519793,0.012531,0.002516,0.018092,0.952401,0.0025,0.412528,0.018211,0.005257,3075.0,0.0,0.025736,0.024841,0.038548,0.0,0.012585,0.012147,0.115645,0.0,0.001792,0.00173,0.38521,0.0,0.0,0.0,0.039938,0.0,0.009968,0.00033,0.010275,0.013334
Stage1 (冻结原型) fused,,,0.982724,0.761472,0.984888,0.748199,0.875912,0.904447,0.872976,0.977898,0.94387,0.993261,0.958699,2.442469,0.495957,2.347469,-0.095,,,,,,,,,,,,,,,,,2968.0,3075.0,5,,,,,,,,,,,,,,,,,,,,,0.000549,0.011333,0.982555,0.000552,0.759283,0.011322,0.000934,0.014785,0.984755,0.00094,0.746521,0.014836,0.002003,3075.0,0.0,0.004792,0.004625,0.038548,0.0,0.000776,0.000749,0.115645,0.0,0.00079,0.000763,0.38521,0.0,0.0,0.0,0.039938,0.0,0.19382,0.007604,0.201423,0.09979
Stage2 (解冻原型),0.958835,0.991566,0.983486,0.769605,0.985634,0.763842,0.88562,0.933625,0.901138,0.980189,0.946081,0.994407,0.959805,2.128628,0.473467,2.045603,-0.083025,82.772541,82.772541,82.772541,82.772541,0.05,0.0,0.0,0.938928,9.302326,0.888906,0.499967,0.920853,0.958835,0.36,0.32,0.32,2968.0,3075.0,5,Stage2 (解冻原型),0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.167332,0.277489,0.148324,0.004215,0.000926,0.0,0.008348,0.046909,7.3e-05,0.001575,0.004215,0.001538,0.023763,0.983379,0.001537,0.768106,0.023918,0.002182,0.033005,0.985536,0.002195,0.762648,0.033219,0.008345,3075.0,0.0,0.023165,0.022359,0.038548,0.0,0.002163,0.002087,0.115645,0.0,0.000657,0.000634,0.38521,0.0,0.0,0.0,0.039938,0.0,0.164483,0.006347,0.170831,0.165927
Stage2 (解冻原型) proto-only,,,0.982903,0.7828,0.989351,0.831305,0.885064,0.952695,0.919545,0.981604,0.947447,0.993598,0.959024,2.851044,1.100388,2.741103,-0.109941,,,,,,,,,,,,,,,,,2968.0,3075.0,5,,,,,,,,,,,,,,,,,,,,,0.000225,0.000851,0.982769,0.000203,0.781059,0.00078,8.4e-05,0.001087,0.989289,9.3e-05,0.830268,0.001108,0.001825,3075.0,0.0,0.001441,0.001391,0.038548,0.0,0.000384,0.000371,0.115645,0.0,0.000337,0.000325,0.38521,0.0,0.0,0.0,0.039938,0.0,0.006997,0.000315,0.007312,0.019217
Stage2 (解冻原型) text-only,,,0.979744,0.751817,0.984661,0.770633,0.849049,0.899663,0.868358,0.975943,0.941984,0.992453,0.957919,2.993542,0.844168,2.878257,-0.115285,,,,,,,,,,,,,,,,,2968.0,3075.0,5,,,,,,,,,,,,,,,,,,,,,0.0003,0.002079,0.979528,0.000306,0.749252,0.002105,0.000223,0.00189,0.984549,0.000225,0.769126,0.001889,0.002403,3075.0,0.0,0.001897,0.001831,0.038548,0.0,0.000511,0.000493,0.115645,0.0,0.000185,0.000178,0.38521,0.0,0.0,0.0,0.039938,0.0,0.010426,0.000358,0.010783,0.01056
Stage2 (解冻原型) mem-only,,,0.961768,0.521498,0.95226,0.412448,0.730143,0.658423,0.635512,0.892925,0.861854,0.979987,0.945886,1.606639,0.071389,1.543442,-0.063197,,,,,,,,,,,,,,,,,2968.0,3075.0,5,,,,,,,,,,,,,,,,,,,,,0.001368,0.012421,0.961633,0.00141,0.519793,0.012531,0.002516,0.018092,0.952401,0.0025,0.412528,0.018211,0.005257,3075.0,0.0,0.025736,0.024841,0.038548,0.0,0.012585,0.012147,0.115645,0.0,0.001792,0.00173,0.38521,0.0,0.0,0.0,0.039938,0.0,0.009968,0.00033,0.010275,0.013334
Stage2 (解冻原型) fused,,,0.983486,0.769605,0.985634,0.763842,0.88562,0.933625,0.901138,0.980189,0.946081,0.994407,0.959805,2.128628,0.473467,2.045603,-0.083025,,,,,,,,,,,,,,,,,2968.0,3075.0,5,,,,,,,,,,,,,,,,,,,,,0.001538,0.023763,0.983379,0.001537,0.768106,0.023918,0.002182,0.033005,0.985536,0.002195,0.762648,0.033219,0.008345,3075.0,0.0,0.023165,0.022359,0.038548,0.0,0.002163,0.002087,0.115645,0.0,0.000657,0.000634,0.38521,0.0,0.0,0.0,0.039938,0.0,0.164483,0.006347,0.170831,0.165927
