variant,image_auc,image_ap,pixel_auc_paclip,pixel_ap_paclip,pixel_auc_ours,pixel_ap_ours,pixel_aupro,hit@1_valid,hit@1_strict,hit@3_valid,hit@3_strict,hit@10_valid,hit@10_strict,gap_sigma,peak_gap_z,lesion_z,background_z,acc_image_only,acc_lesion_only,acc_fused,acc_text_fused,alpha_fuse,alpha_pt,lam_pt,oof_img_auc,val_acc,auc_heat_alone,auc_text_alone,auc_adapt_alone,auc_3signal,w_heat,w_text,w_adapt,n_valid,n_total,tag,edge_warning,pixel_auc_paclip_fixed,pixel_ap_paclip_fixed,pixel_auc_ours_fixed,pixel_ap_ours_fixed,n_pixel_slices,hit@1_chance,hit@3_chance,hit@10_chance,lesion_area_mean
Stage1 (冻结原型),0.954988,0.990644,0.982069,0.741897,0.983249,0.721985,0.875222,0.8969,0.865691,0.977089,0.943089,0.993598,0.959024,2.082227,0.317659,2.000827,-0.0814,82.772541,82.772541,82.772541,82.772541,0.05,0.0,0.0,0.932401,9.302326,0.829086,0.5,0.921789,0.954988,0.4,0.1,0.5,2968,3075,Stage1 (冻结原型),1,0.98192,0.739798,0.983108,0.720228,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) proto-only,,,0.962883,0.542149,0.966549,0.581859,0.789662,0.559299,0.539837,0.830863,0.801951,0.96597,0.932358,1.459318,0.011143,1.40094,-0.058378,,,,,,,,,,,,,,,,,2968,3075,,,0.962901,0.541159,0.966643,0.581915,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) text-only,,,0.979827,0.752585,0.98479,0.771613,0.849465,0.899596,0.868293,0.975404,0.941463,0.992588,0.958049,2.992056,0.843049,2.876798,-0.115257,,,,,,,,,,,,,,,,,2968,3075,,,0.979613,0.750039,0.984682,0.770144,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) mem-only,,,0.960182,0.502526,0.948299,0.383875,0.723895,0.625674,0.603902,0.877358,0.846829,0.9781,0.944065,1.592115,0.052983,1.529382,-0.062733,,,,,,,,,,,,,,,,,2968,3075,,,0.960063,0.500975,0.948511,0.384085,3075,0.038548,0.115645,0.38521,0.039938
Stage1 (冻结原型) fused,,,0.982069,0.741897,0.983249,0.721985,0.875222,0.8969,0.865691,0.977089,0.943089,0.993598,0.959024,2.082227,0.317659,2.000827,-0.0814,,,,,,,,,,,,,,,,,2968,3075,,,0.98192,0.739798,0.983108,0.720228,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型),0.954859,0.99065,0.982069,0.741897,0.983249,0.721985,0.875222,0.8969,0.865691,0.977089,0.943089,0.993598,0.959024,2.082227,0.317659,2.000827,-0.0814,82.772541,82.772541,82.772541,82.772541,0.05,0.0,0.0,0.934149,9.302326,0.829086,0.5,0.921805,0.954859,0.4,0.1,0.5,2968,3075,Stage2 (解冻原型),1,0.98192,0.739798,0.983108,0.720228,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) proto-only,,,0.982885,0.783212,0.98942,0.832453,0.885827,0.95283,0.919675,0.981806,0.947642,0.993261,0.958699,2.851537,1.098204,2.741578,-0.109959,,,,,,,,,,,,,,,,,2968,3075,,,0.982757,0.781528,0.989356,0.831407,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) text-only,,,0.979827,0.752585,0.98479,0.771613,0.849465,0.899596,0.868293,0.975404,0.941463,0.992588,0.958049,2.992056,0.843049,2.876798,-0.115257,,,,,,,,,,,,,,,,,2968,3075,,,0.979613,0.750039,0.984682,0.770144,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) mem-only,,,0.960182,0.502526,0.948299,0.383875,0.723895,0.625674,0.603902,0.877358,0.846829,0.9781,0.944065,1.592115,0.052983,1.529382,-0.062733,,,,,,,,,,,,,,,,,2968,3075,,,0.960063,0.500975,0.948511,0.384085,3075,0.038548,0.115645,0.38521,0.039938
Stage2 (解冻原型) fused,,,0.982069,0.741897,0.983249,0.721985,0.875222,0.8969,0.865691,0.977089,0.943089,0.993598,0.959024,2.082227,0.317659,2.000827,-0.0814,,,,,,,,,,,,,,,,,2968,3075,,,0.98192,0.739798,0.983108,0.720228,3075,0.038548,0.115645,0.38521,0.039938
